Nombre,id Web,id_ml
Brest,fb08dbb3,08300000
Clermont Foot,d9676424,96764240
Le Havre,5c2737db,52737000
Lens,fd4e0f7d,40700000
Lille,cb188c0c,18800000
Lorient,d2c87802,28780200
Lyon,d53c0b06,53006000
Marseille,5725cc7b,57257000
Metz,f83960ae,83960000
Monaco,fd6114db,61140000
Montpellier,281b0e73,28107300
Nantes,d7a486cd,74860000
Nice,132ebc33,13233000
Paris S-G,e2d8892c,28892000
Reims,7fdd64e0,76400000
Rennes,b3072e00,30720000
Strasbourg,c0d3eab4,03400000
Toulouse,3f8c4b5f,38450000
Ajaccio,7a54bb4f,75440000
Amiens,25622401,25622401
Angers,69236f98,69236980
Annecy,c94d9135,94913500
Auxerre,5ae09109,50910900
Bastia,6283be2c,62832000
Bordeaux,123f3efe,12330000
Caen,74229020,74229020
Dunkerque,1740a29b,17402900
Grenoble,40aa7280,40728000
Guingamp,d41b5f53,41553000
Paris FC,056a5a75,05657500
Pau FC,e5b6b0c1,56010000
Quevilly-Rouen,34e7850d,34785000
Rodez Aveyron,9130bd3b,91303000
Saint-Étienne,d298ef2c,29820000
Stade Laval,66cc304a,66304000
Troyes,54195385,54195385
US Concarneau,4d987358,49873580
Valenciennes,259d3345,25933450
