Nombre,id Web,id_ml
Augsburg,0cdc4311,04311000
Bayern Munich,054efa67,05467000
Bochum,b42c6323,42632300
Darmstadt 98,6a6967fc,66967000
Dortmund,add600ae,60000000
Eint Frankfurt,f0ac8ee6,08600000
Freiburg,a486e511,48651100
Heidenheim,18d9d2a7,18927000
Hoffenheim,033ea6b8,03368000
Köln,bc357bf7,35770000
Leverkusen,c7a9f859,79859000
M'Gladbach,32f3ee20,32320000
Mainz 05,a224b06a,22406000
RB Leipzig,acbb6a5b,65000000
Stuttgart,598bc722,59872200
Union Berlin,7a41008f,74100800
Werder Bremen,62add3bf,62300000
Wolfsburg,4eaa11d7,41170000
Braunschweig,8107958d,81079580
Düsseldorf,b1278397,12783970
Elversberg,fe686760,68676000
Greuther Fürth,12192a4c,12192400
Hamburger SV,26790c6a,26790600
Hannover 96,60b5e41f,60541000
Hansa Rostock,bc31a6e4,31640000
Hertha BSC,2818f8bc,28188000
Holstein Kiel,2ac661d9,26619000
Kaiserslautern,73a27a73,73277300
Karlsruher,33ba9d7b,33970000
Magdeburg,e18a73da,18730000
Nürnberg,6f2c108c,62108000
Osnabrück,3ce4e72c,34720000
Paderborn 07,d9f93f02,99302000
Schalke 04,c539e393,53939300
St. Pauli,54864664,54864664
Wehen,432f2430,43224300
