Nombre,id Web,id_ml
Arsenal,18bb7c10,18710000
Aston Villa,8602292d,86022920
Bournemouth,4ba7cbea,47000000
Brentford,cd051869,05186900
Brighton,d07537b9,07537900
Burnley,943e8050,94380500
Chelsea,cff3d9bb,39000000
Crystal Palace,47c64c55,47645500
Everton,d3fd31cc,33100000
Fulham,fd962109,96210900
Liverpool,822bd0ba,82200000
Luton Town,e297cd13,29713000
Manchester City,b8fd03ef,80300000
Manchester Utd,19538871,19538871
Newcastle Utd,b2b47a98,24798000
Nott'ham Forest,e4a775cb,47750000
Sheffield Utd,1df6b87e,16870000
Tottenham,361ca564,36156400
West Ham,7c21e445,72144500
Wolves,8cec06e1,80610000
Birmingham City,ec79b7c2,79720000
Blackburn,e090f40b,09040000
Bristol City,93493607,93493607
Cardiff City,75fae011,75011000
Coventry City,f7e3dfe9,73900000
Huddersfield,f5922ca5,59225000
Hull City,bd8769d1,87691000
Ipswich Town,b74092de,74092000
Leeds United,5bfb9659,59659000
Leicester City,a2d435b3,24353000
Middlesbrough,7f59c601,75960100
Millwall,e3c537a1,35371000
Norwich City,1c781004,17810040
Plymouth Argyle,32a1480e,32148000
Preston,22df8478,22847800
QPR,a757999c,75799900
Rotherham Utd,375d66f1,37566100
Sheffield Weds,bba7d733,77330000
Southampton,33c895d4,33895400
Stoke City,17892952,17892952
Sunderland,8ef52968,85296800
Swansea City,fb10988f,10988000
Watford,2abfe087,20870000
West Brom,60c6b05f,60605000
Alavés,8d6fd021,86021000
Almería,78ecf4bb,78400000
Athletic Club,2b390eca,23900000
Atlético Madrid,db3b9613,39613000
Barcelona,206d90db,20690000
Betis,fc536746,53674600
Cádiz,ee7c297c,72970000
Celta Vigo,f25da7fb,25700000
Getafe,7848bd64,78486400
Girona,9024a00a,90240000
Granada,a0435291,04352910
Las Palmas,0049d422,00494220
Mallorca,2aa12281,21228100
Osasuna,03c57e2b,03572000
Rayo Vallecano,98e8af82,98882000
Real Madrid,53a2f082,53208200
Real Sociedad,e31d1cd9,31190000
Sevilla,ad2be733,27330000
Valencia,dcc91a7b,91700000
Villarreal,2a8183b3,28183300
Albacete,b7e3e46e,73460000
Alcorcón,045c971f,04597100
Burgos,d9fac124,91240000
Cartagena,bbd9ac49,94900000
CD Eldense,fa36ed9b,36900000
CD Mirandés,3640715c,36407150
Eibar,bea5c710,57100000
Elche,6c8b07df,68070000
Espanyol,a8661628,86616280
FC Andorra,73178cb3,73178300
Huesca,c6c493e6,64936000
Leganés,7c6f2c78,76278000
Levante,9800b6a1,98006100
Oviedo,ab358912,35891200
Racing Ferrol,962428a8,96242880
Racing Sant,dee3bbc8,38000000
SD Amorebieta,5f70a1fa,57010000
Sporting Gijón,bb9efd50,95000000
Tenerife,27cc9c62,27962000
Valladolid,17859612,17859612
Villarreal B,408a9724,40897240
Zaragoza,800303a0,80030300
Atalanta,922493f3,92249330
Bologna,1d8099f8,18099800
Cagliari,c4260e09,42600900
Empoli,a3d88bd8,38880000
Fiorentina,421387cf,42138700
Frosinone,6a7ad59d,67590000
Genoa,658bf2de,65820000
Hellas Verona,0e72edf2,07220000
Inter,d609edc0,60900000
