Nombre,id Web,id_ml
Arsenal,18bb7c10,18710000
Aston Villa,8602292d,86022920
Bournemouth,4ba7cbea,47000000
Brentford,cd051869,05186900
Brighton,d07537b9,07537900
Burnley,943e8050,94380500
Chelsea,cff3d9bb,39000000
Crystal Palace,47c64c55,47645500
Everton,d3fd31cc,33100000
Fulham,fd962109,96210900
Liverpool,822bd0ba,82200000
Luton Town,e297cd13,29713000
Manchester City,b8fd03ef,80300000
Manchester Utd,19538871,19538871
Newcastle Utd,b2b47a98,24798000
Nott'ham Forest,e4a775cb,47750000
Sheffield Utd,1df6b87e,16870000
Tottenham,361ca564,36156400
West Ham,7c21e445,72144500
Wolves,8cec06e1,80610000
Alavés,8d6fd021,86021000
Almería,78ecf4bb,78400000
Athletic Club,2b390eca,23900000
Atlético Madrid,db3b9613,39613000
Barcelona,206d90db,20690000
Betis,fc536746,53674600
Cádiz,ee7c297c,72970000
Celta Vigo,f25da7fb,25700000
Getafe,7848bd64,78486400
Girona,9024a00a,90240000
Granada,a0435291,04352910
Las Palmas,0049d422,00494220
Mallorca,2aa12281,21228100
Osasuna,03c57e2b,03572000
Rayo Vallecano,98e8af82,98882000
Real Madrid,53a2f082,53208200
Real Sociedad,e31d1cd9,31190000
Sevilla,ad2be733,27330000
Valencia,dcc91a7b,91700000
Villarreal,2a8183b3,28183300
Atalanta,922493f3,92249330
Bologna,1d8099f8,18099800
Cagliari,c4260e09,42600900
Empoli,a3d88bd8,38880000
Fiorentina,421387cf,42138700
Frosinone,6a7ad59d,67590000
Genoa,658bf2de,65820000
Hellas Verona,0e72edf2,07220000
Inter,d609edc0,60900000
Juventus,e0652b02,06520200
Lazio,7213da33,72133300
Lecce,ffcbe334,33400000
Milan,dc56fe14,56140000
Monza,21680aa4,21680400
Napoli,d48ad4ff,48400000
Roma,cf74a709,74709000
Salernitana,c5577084,55770840
Sassuolo,e2befd26,22600000
Torino,105360fe,10536000
Udinese,04eea015,04015000
Brest,fb08dbb3,08300000
Clermont Foot,d9676424,96764240
Le Havre,5c2737db,52737000
Lens,fd4e0f7d,40700000
Lille,cb188c0c,18800000
Lorient,d2c87802,28780200
Lyon,d53c0b06,53006000
Marseille,5725cc7b,57257000
Metz,f83960ae,83960000
Monaco,fd6114db,61140000
Montpellier,281b0e73,28107300
Nantes,d7a486cd,74860000
Nice,132ebc33,13233000
Paris S-G,e2d8892c,28892000
Reims,7fdd64e0,76400000
Rennes,b3072e00,30720000
Strasbourg,c0d3eab4,03400000
Toulouse,3f8c4b5f,38450000
Augsburg,0cdc4311,04311000
Bayern Munich,054efa67,05467000
Bochum,b42c6323,42632300
Darmstadt 98,6a6967fc,66967000
Dortmund,add600ae,60000000
Eint Frankfurt,f0ac8ee6,08600000
Freiburg,a486e511,48651100
Heidenheim,18d9d2a7,18927000
Hoffenheim,033ea6b8,03368000
Köln,bc357bf7,35770000
Leverkusen,c7a9f859,79859000
M'Gladbach,32f3ee20,32320000
Mainz 05,a224b06a,22406000
RB Leipzig,acbb6a5b,65000000
Stuttgart,598bc722,59872200
Union Berlin,7a41008f,74100800
Werder Bremen,62add3bf,62300000
Wolfsburg,4eaa11d7,41170000
