Nombre,id Web,id_ml
Birmingham City,ec79b7c2,79720000
Blackburn,e090f40b,09040000
Bristol City,93493607,93493607
Cardiff City,75fae011,75011000
Coventry City,f7e3dfe9,73900000
Huddersfield,f5922ca5,59225000
Hull City,bd8769d1,87691000
Ipswich Town,b74092de,74092000
Leeds United,5bfb9659,59659000
Leicester City,a2d435b3,24353000
Middlesbrough,7f59c601,75960100
Millwall,e3c537a1,35371000
Norwich City,1c781004,17810040
Plymouth Argyle,32a1480e,32148000
Preston,22df8478,22847800
QPR,a757999c,75799900
Rotherham Utd,375d66f1,37566100
Sheffield Weds,bba7d733,77330000
Southampton,33c895d4,33895400
Stoke City,17892952,17892952
Sunderland,8ef52968,85296800
Swansea City,fb10988f,10988000
Watford,2abfe087,20870000
West Brom,60c6b05f,60605000
Albacete,b7e3e46e,73460000
Alcorcón,045c971f,04597100
Burgos,d9fac124,91240000
Cartagena,bbd9ac49,94900000
CD Eldense,fa36ed9b,36900000
CD Mirandés,3640715c,36407150
Eibar,bea5c710,57100000
Elche,6c8b07df,68070000
Espanyol,a8661628,86616280
FC Andorra,73178cb3,73178300
Huesca,c6c493e6,64936000
Leganés,7c6f2c78,76278000
Levante,9800b6a1,98006100
Oviedo,ab358912,35891200
Racing Ferrol,962428a8,96242880
Racing Sant,dee3bbc8,38000000
SD Amorebieta,5f70a1fa,57010000
Sporting Gijón,bb9efd50,95000000
Tenerife,27cc9c62,27962000
Valladolid,17859612,17859612
Villarreal B,408a9724,40897240
Zaragoza,800303a0,80030300
Ascoli,72c031e3,72031300
Bari,01baa639,01639000
Brescia,4ef57aeb,45700000
Calcio Lecco 1912,f4d63608,46360800
Catanzaro,b964e6bb,96460000
Cittadella,1a8d4355,18435500
Como,28c9c3cd,28930000
Cosenza,34963d0d,34963000
Cremonese,9aad3a77,93770000
FeralpiSalò,c41460da,41460000
Modena,71a3700b,71370000
Palermo,ee058a17,05817000
Parma,eab4234c,42340000
Pisa,4cceedfc,40000000
Reggiana,19008e93,19008930
Sampdoria,8ff9e3b3,89330000
Spezia,68449f6d,68449600
Südtirol,13dabbde,13000000
Ternana,d8be8b3e,88300000
Venezia,af5d5982,55982000
Ajaccio,7a54bb4f,75440000
Amiens,25622401,25622401
Angers,69236f98,69236980
Annecy,c94d9135,94913500
Auxerre,5ae09109,50910900
Bastia,6283be2c,62832000
Bordeaux,123f3efe,12330000
Caen,74229020,74229020
Dunkerque,1740a29b,17402900
Grenoble,40aa7280,40728000
Guingamp,d41b5f53,41553000
Paris FC,056a5a75,05657500
Pau FC,e5b6b0c1,56010000
Quevilly-Rouen,34e7850d,34785000
Rodez Aveyron,9130bd3b,91303000
Saint-Étienne,d298ef2c,29820000
Stade Laval,66cc304a,66304000
Troyes,54195385,54195385
US Concarneau,4d987358,49873580
Valenciennes,259d3345,25933450
Braunschweig,8107958d,81079580
Düsseldorf,b1278397,12783970
Elversberg,fe686760,68676000
Greuther Fürth,12192a4c,12192400
Hamburger SV,26790c6a,26790600
Hannover 96,60b5e41f,60541000
Hansa Rostock,bc31a6e4,31640000
Hertha BSC,2818f8bc,28188000
Holstein Kiel,2ac661d9,26619000
Kaiserslautern,73a27a73,73277300
Karlsruher,33ba9d7b,33970000
Magdeburg,e18a73da,18730000
Nürnberg,6f2c108c,62108000
Osnabrück,3ce4e72c,34720000
Paderborn 07,d9f93f02,99302000
Schalke 04,c539e393,53939300
St. Pauli,54864664,54864664
Wehen,432f2430,43224300
