Nombre,id Web,id_ml
Arsenal,18bb7c10,18710000
Aston Villa,8602292d,86022920
Bournemouth,4ba7cbea,47000000
Brentford,cd051869,05186900
Brighton,d07537b9,07537900
Burnley,943e8050,94380500
Chelsea,cff3d9bb,39000000
Crystal Palace,47c64c55,47645500
Everton,d3fd31cc,33100000
Fulham,fd962109,96210900
Liverpool,822bd0ba,82200000
Luton Town,e297cd13,29713000
Manchester City,b8fd03ef,80300000
Manchester Utd,19538871,19538871
Newcastle Utd,b2b47a98,24798000
Nott'ham Forest,e4a775cb,47750000
Sheffield Utd,1df6b87e,16870000
Tottenham,361ca564,36156400
West Ham,7c21e445,72144500
Wolves,8cec06e1,80610000
Birmingham City,ec79b7c2,79720000
Blackburn,e090f40b,09040000
Bristol City,93493607,93493607
Cardiff City,75fae011,75011000
Coventry City,f7e3dfe9,73900000
Huddersfield,f5922ca5,59225000
Hull City,bd8769d1,87691000
Ipswich Town,b74092de,74092000
Leeds United,5bfb9659,59659000
Leicester City,a2d435b3,24353000
Middlesbrough,7f59c601,75960100
Millwall,e3c537a1,35371000
Norwich City,1c781004,17810040
Plymouth Argyle,32a1480e,32148000
Preston,22df8478,22847800
QPR,a757999c,75799900
Rotherham Utd,375d66f1,37566100
Sheffield Weds,bba7d733,77330000
Southampton,33c895d4,33895400
Stoke City,17892952,17892952
Sunderland,8ef52968,85296800
Swansea City,fb10988f,10988000
Watford,2abfe087,20870000
West Brom,60c6b05f,60605000
