Nombre,id Web,id_ml
Clermont Foot,d9676424,96764240
Le Havre,5c2737db,52737000
Metz,f83960ae,83960000
Toulouse,3f8c4b5f,38450000
Ajaccio,7a54bb4f,75440000
Amiens,25622401,25622401
Annecy,c94d9135,94913500
Auxerre,5ae09109,50910900
Bastia,6283be2c,62832000
Bordeaux,123f3efe,12330000
Caen,74229020,74229020
Dunkerque,1740a29b,17402900
Grenoble,40aa7280,40728000
Guingamp,d41b5f53,41553000
Paris FC,056a5a75,5657500
Pau FC,e5b6b0c1,56010000
Quevilly-Rouen,34e7850d,34785000
Rodez Aveyron,9130bd3b,91303000
Saint-Étienne,d298ef2c,29820000
Stade Laval,66cc304a,66304000
Troyes,54195385,54195385
US Concarneau,4d987358,49873580
Valenciennes,259d3345,25933450
