Nombre,id Web,id_ml
Alavés,8d6fd021,86021000
Almería,78ecf4bb,78400000
Athletic Club,2b390eca,23900000
Atlético Madrid,db3b9613,39613000
Barcelona,206d90db,20690000
Betis,fc536746,53674600
Cádiz,ee7c297c,72970000
Celta Vigo,f25da7fb,25700000
Getafe,7848bd64,78486400
Girona,9024a00a,90240000
Granada,a0435291,04352910
Las Palmas,0049d422,00494220
Mallorca,2aa12281,21228100
Osasuna,03c57e2b,03572000
Rayo Vallecano,98e8af82,98882000
Real Madrid,53a2f082,53208200
Real Sociedad,e31d1cd9,31190000
Sevilla,ad2be733,27330000
Valencia,dcc91a7b,91700000
Villarreal,2a8183b3,28183300
Albacete,b7e3e46e,73460000
Alcorcón,045c971f,04597100
Burgos,d9fac124,91240000
Cartagena,bbd9ac49,94900000
CD Eldense,fa36ed9b,36900000
CD Mirandés,3640715c,36407150
Eibar,bea5c710,57100000
Elche,6c8b07df,68070000
Espanyol,a8661628,86616280
FC Andorra,73178cb3,73178300
Huesca,c6c493e6,64936000
Leganés,7c6f2c78,76278000
Levante,9800b6a1,98006100
Oviedo,ab358912,35891200
Racing Ferrol,962428a8,96242880
Racing Sant,dee3bbc8,38000000
SD Amorebieta,5f70a1fa,57010000
Sporting Gijón,bb9efd50,95000000
Tenerife,27cc9c62,27962000
Valladolid,17859612,17859612
Villarreal B,408a9724,40897240
Zaragoza,800303a0,80030300
